Finding ID,Rule ID,Category,Severity,Source,Engine,Language,File,Line,Function,Snippet,Reason,Recommendation,Confidence,Tainted,CWE,OWASP,Evidence IDs
c02f87975547b11e,QNT-SHA-1,Quantum Migration Inventory,Info,DETERMINISTIC,quantum,python,guardian\intent\legacy\models.py,61,__post_init__,self.rule_id = hashlib.sha1(basis.encode()).hexdigest()[:12],SHA-1 is classically broken: Chosen-prefix collisions demonstrated; NIST-deprecated for all uses.,Migrate to SHA-384 or SHA3-256 (NIST SP 800-107r1). Chosen-prefix collisions demonstrated; NIST-deprecated for all uses.,1.0,False,CWE-327,A02:2021,E250
626eb92f921c6909,SEC-005,Weak Crypto,High,DETERMINISTIC,security,python,guardian\intent\legacy\models.py,61,__post_init__,self.rule_id = hashlib.sha1(basis.encode()).hexdigest()[:12],hashlib.sha1 performs hashing with SHA-1. SHA-1 is collision-broken and deprecated by NIST.,"Use SHA-256 or stronger for hashing (Argon2id/bcrypt/scrypt for passwords), and AES-256-GCM for symmetric encryption.",0.95,False,CWE-327,A02:2021,E146
e5b687a9e2474f22,SEC-006,Broken Authentication,Critical,DETERMINISTIC,security,python,guardian\intent\legacy\models.py,185,_build_fix_steps,steps.append(,TLS certificate/hostname verification appears disabled at steps.append.,Keep certificate and hostname verification enabled and require TLS 1.2+ (prefer TLS 1.3).,0.8,False,CWE-295,A07:2021,E147
6564f7512ddf8486,SEC-010,Sensitive Logging,High,DETERMINISTIC,security,python,guardian\llm\guardrails.py,157,check_prompt,"log.warning(""Redacted %d suspected secret(s) from outbound prompt"", redactions)","'secret' is passed to log.warning, so it can reach log storage and aggregation systems in clear text.",Redact or mask sensitive fields before logging; log identifiers rather than values.,0.75,False,CWE-532,A09:2021,E148
b35feff08517d749,QNT-SHA-1,Quantum Migration Inventory,Info,DETERMINISTIC,quantum,python,guardian\policy\models.py,116,__post_init__,"self.policy_id = ""P"" + hashlib.sha1(basis.encode()).hexdigest()[:10]",SHA-1 is classically broken: Chosen-prefix collisions demonstrated; NIST-deprecated for all uses.,Migrate to SHA-384 or SHA3-256 (NIST SP 800-107r1). Chosen-prefix collisions demonstrated; NIST-deprecated for all uses.,1.0,False,CWE-327,A02:2021,E252
983845cd78ac70e0,SEC-005,Weak Crypto,High,DETERMINISTIC,security,python,guardian\policy\models.py,116,__post_init__,"self.policy_id = ""P"" + hashlib.sha1(basis.encode()).hexdigest()[:10]",hashlib.sha1 performs hashing with SHA-1. SHA-1 is collision-broken and deprecated by NIST.,"Use SHA-256 or stronger for hashing (Argon2id/bcrypt/scrypt for passwords), and AES-256-GCM for symmetric encryption.",0.95,False,CWE-327,A02:2021,E158
dac52c822ef2cbbf,QNT-SHA-1,Quantum Migration Inventory,Info,DETERMINISTIC,quantum,python,guardian\quantum\models.py,54,__post_init__,self.usage_id = hashlib.sha1(basis.encode()).hexdigest()[:12],SHA-1 is classically broken: Chosen-prefix collisions demonstrated; NIST-deprecated for all uses.,Migrate to SHA-384 or SHA3-256 (NIST SP 800-107r1). Chosen-prefix collisions demonstrated; NIST-deprecated for all uses.,1.0,False,CWE-327,A02:2021,E254
60f281545bdcd048,SEC-005,Weak Crypto,High,DETERMINISTIC,security,python,guardian\quantum\models.py,54,__post_init__,self.usage_id = hashlib.sha1(basis.encode()).hexdigest()[:12],hashlib.sha1 performs hashing with SHA-1. SHA-1 is collision-broken and deprecated by NIST.,"Use SHA-256 or stronger for hashing (Argon2id/bcrypt/scrypt for passwords), and AES-256-GCM for symmetric encryption.",0.95,False,CWE-327,A02:2021,E159
7d7fb4ad09d2a42f,SEC-006,Broken Authentication,Critical,DETERMINISTIC,security,python,guardian\scanner\_engine.py,80,,"re.compile(r'X509TrustManager\(\)\s*\{'),",TLS certificate/hostname verification appears disabled at re.compile.,Keep certificate and hostname verification enabled and require TLS 1.2+ (prefer TLS 1.3).,0.8,False,CWE-295,A07:2021,E164
91887b3da66fcfe8,SEC-006,Broken Authentication,Critical,DETERMINISTIC,security,python,guardian\scanner\_engine.py,81,,"re.compile(r'\btrustAllCerts\b'),",TLS certificate/hostname verification appears disabled at re.compile.,Keep certificate and hostname verification enabled and require TLS 1.2+ (prefer TLS 1.3).,0.8,False,CWE-295,A07:2021,E165
cdb29383fb03a63b,SEC-006,Broken Authentication,Critical,DETERMINISTIC,security,python,guardian\scanner\rust\plugin.py,30,,"re.compile(r'danger_accept_invalid_certs\s*\(\s*true\s*\)|danger_accept_invalid_hostnames\s*\(\s*true\s*\)'),",TLS certificate/hostname verification appears disabled at re.compile.,Keep certificate and hostname verification enabled and require TLS 1.2+ (prefer TLS 1.3).,0.8,False,CWE-295,A07:2021,E169
bdf9b8921241536e,QNT-SHA-1,Quantum Migration Inventory,Info,DETERMINISTIC,quantum,python,guardian\ust\models.py,123,__post_init__,self.node_id = hashlib.sha1(basis.encode()).hexdigest()[:16],SHA-1 is classically broken: Chosen-prefix collisions demonstrated; NIST-deprecated for all uses.,Migrate to SHA-384 or SHA3-256 (NIST SP 800-107r1). Chosen-prefix collisions demonstrated; NIST-deprecated for all uses.,1.0,False,CWE-327,A02:2021,E258
ae92a1da855eca12,SEC-005,Weak Crypto,High,DETERMINISTIC,security,python,guardian\ust\models.py,123,__post_init__,self.node_id = hashlib.sha1(basis.encode()).hexdigest()[:16],hashlib.sha1 performs hashing with SHA-1. SHA-1 is collision-broken and deprecated by NIST.,"Use SHA-256 or stronger for hashing (Argon2id/bcrypt/scrypt for passwords), and AES-256-GCM for symmetric encryption.",0.95,False,CWE-327,A02:2021,E177
53c063ccd6ec65fc,SEC-006,Broken Authentication,Critical,DETERMINISTIC,security,python,guardian\ust\tagging.py,217,,"CryptoSignature((""danger_accept_invalid_certs"", ""danger_accept_invalid_hostnames""),",TLS certificate/hostname verification appears disabled at CryptoSignature.,Keep certificate and hostname verification enabled and require TLS 1.2+ (prefer TLS 1.3).,0.8,False,CWE-295,A07:2021,E178
356d20496f1e14b3,DEP-001,Unpinned Dependency,Low,DETERMINISTIC,analyzer:dependencies,,requirements.txt,1,,pandas (PyPI) has no pinned version,,"Pin dependency versions for reproducible, auditable builds.",0.9,False,,,E262
5dc3b60d4912b8f6,SEC-006,Broken Authentication,Critical,DETERMINISTIC,security,python,tests\test_engines.py,143,test_disabled_tls_verification_rust,"ctx = make_context(tmp_path, {""c.rs"": (",TLS certificate/hostname verification appears disabled at ctx.,Keep certificate and hostname verification enabled and require TLS 1.2+ (prefer TLS 1.3).,0.8,False,CWE-295,A07:2021,E187
75f835590c7eff46,SEC-004,Hardcoded Secret,High,DETERMINISTIC,legacy:python,python,tests\test_engines.py,153,,"""def f(password):\n    logger.info('login password=' + password)\n"")})",,Mitigate Hardcoded Secret using secure coding practices.,0.85,False,,,
ed654306bc5a1fc0,SEC-004,Hardcoded Secret,High,DETERMINISTIC,security,python,tests\test_engines.py,168,test_hardcoded_secret_detected,"'API_KEY = ""sk-9f8a7b6c5d4e3f2a1b0c9d8e7f6a5b4c""\n')})",'API_KEY' is assigned a high-entropy literal in source code.,Mitigate Hardcoded Secret using secure coding practices.,0.85,False,CWE-798,A07:2021,E189
c857facbb2f0ac3b,SEC-004,Hardcoded Secret,High,DETERMINISTIC,legacy:python,python,tests\test_engines.py,178,,"ctx = make_context(tmp_path, {""c.py"": 'api_key = ""your-api-key-here""\n'})",,Mitigate Hardcoded Secret using secure coding practices.,0.85,False,,,
902e9b84cf460609,SEC-004,Hardcoded Secret,High,DETERMINISTIC,security,python,tests\test_llm_layer.py,27,test_rejects_plaintext_http,"cfg = LLMConfig(api_key=""nvapi-x"", base_url=""http://insecure.example/v1"")",'api_key' is assigned a high-entropy literal in source code.,Mitigate Hardcoded Secret using secure coding practices.,0.85,False,CWE-798,A07:2021,E193
a7e084ce93486d38,SEC-004,Hardcoded Secret,High,DETERMINISTIC,legacy:python,python,tests\test_llm_layer.py,32,,"secret = ""nvapi-SUPERSECRETVALUE12345""",,Mitigate Hardcoded Secret using secure coding practices.,0.85,False,,,
4c3dcbcd712cb7c2,SEC-004,Hardcoded Secret,High,DETERMINISTIC,security,python,tests\test_llm_layer.py,63,test_unknown_provider_rejected,"create_llm(""gpt-9000"", LLMConfig(api_key=""nvapi-x""))",'api_key' is assigned a high-entropy literal in source code.,Mitigate Hardcoded Secret using secure coding practices.,0.85,False,CWE-798,A07:2021,E194
fb7bafd0a84b0cf2,SEC-004,Hardcoded Secret,High,DETERMINISTIC,security,python,tests\test_llm_layer.py,66,test_returns_base_llm,"llm = create_llm(""nemotron"", LLMConfig(api_key=""nvapi-x""))",'api_key' is assigned a high-entropy literal in source code.,Mitigate Hardcoded Secret using secure coding practices.,0.85,False,CWE-798,A07:2021,E195
dc242e91c57a3f7a,SEC-004,Hardcoded Secret,High,DETERMINISTIC,security,python,tests\test_llm_layer.py,80,_llm,"return NemotronLLM(LLMConfig(api_key=""nvapi-test"", max_retries=3,",'api_key' is assigned a high-entropy literal in source code.,Mitigate Hardcoded Secret using secure coding practices.,0.85,False,CWE-798,A07:2021,E196
4136a491ac61f9aa,SEC-004,Hardcoded Secret,High,DETERMINISTIC,security,python,tests\test_llm_layer.py,236,test_redacts_nvidia_key,"text = 'API_KEY = ""nvapi-abcdefghijklmnopqrstuvwxyz123456""'",'API_KEY' is assigned a high-entropy literal in source code.,Mitigate Hardcoded Secret using secure coding practices.,0.85,False,CWE-798,A07:2021,E197
889bacf99247897e,SEC-004,Hardcoded Secret,High,DETERMINISTIC,legacy:python,python,tests\test_llm_layer.py,250,,"v = self.g.check_prompt('token = ""ghp_abcdefghijklmnopqrstuvwxyz0123456789""')",,Mitigate Hardcoded Secret using secure coding practices.,0.85,False,,,
e65250785d3f1751,SEC-004,Hardcoded Secret,High,DETERMINISTIC,security,python,tests\test_pipeline_integration.py,30,,"private static final String API_KEY = ""sk-live-9f8a7b6c5d4e3f2a1b0c9d8e"";",'API_KEY' is assigned a high-entropy literal in source code.,Mitigate Hardcoded Secret using secure coding practices.,0.85,False,CWE-798,A07:2021,E211
6d63f504814aef23,SEC-004,Hardcoded Secret,High,DETERMINISTIC,security,python,tests\test_scaffold.py,21,sample_repo,"String apiKey=""SECRET_KEY_9"";",'apiKey' is assigned a high-entropy literal in source code.,Mitigate Hardcoded Secret using secure coding practices.,0.85,False,CWE-798,A07:2021,E226
01fa3872c8edeab7,SEC-004,Hardcoded Secret,High,DETERMINISTIC,security,python,tests\test_security_rule_engine.py,37,test_java_hardcoded_secret_camelcase_and_snake_case,"src = 'String apiKey = ""SECRET_KEY_1"";\nString API_KEY = ""SECRET_KEY_2"";'",'apiKey' is assigned a high-entropy literal in source code.,Mitigate Hardcoded Secret using secure coding practices.,0.85,False,CWE-798,A07:2021,E229
d940770d5a582221,SEC-006,Broken Authentication,Critical,DETERMINISTIC,security,python,tests\test_security_rule_engine.py,51,test_java_trust_all_certs_detected,"src = ""X509TrustManager insecure = new X509TrustManager() {""",TLS certificate/hostname verification appears disabled at src.,Keep certificate and hostname verification enabled and require TLS 1.2+ (prefer TLS 1.3).,0.8,False,CWE-295,A07:2021,E228
be9c20dc7877c373,SEC-004,Hardcoded Secret,High,DETERMINISTIC,security,python,tests\test_security_rule_engine.py,58,test_finding_id_is_stable_for_dedup,"src = 'String apiKey = ""SECRET_KEY_1"";'",'apiKey' is assigned a high-entropy literal in source code.,Mitigate Hardcoded Secret using secure coding practices.,0.85,False,CWE-798,A07:2021,E230
9ed1bad6fdcaf6cd,SEC-004,Hardcoded Secret,High,DETERMINISTIC,security,python,tests\test_security_rule_engine.py,66,test_risk_report_produces_merge_decision,"src = 'String apiKey = ""SECRET_KEY_1"";'",'apiKey' is assigned a high-entropy literal in source code.,Mitigate Hardcoded Secret using secure coding practices.,0.85,False,CWE-798,A07:2021,E231
